id,name
0,armchair
1, office chair
2,pendant lamp
3,coffee table
4,side table
5,dining table
6,king-size bed
7,nightstand
8, jewelry armoire
9, multi-seat sofa
10,tv stand
11, corner cabinet
12,shelf
13,wardrobe
14, stool
15, console table
16,ceiling lamp
17,children cabinet
18,bed frame
19,round end table
20,desk
21,single bed
22,loveseat sofa
23,dining chair
24,barstool
25,lazy sofa
26,l-shaped sofa
27,wine cabinet
28,dressing table
29,dressing chair
30,kids bed
31,classic chinese chair
32,bunk bed
33,chaise longue sofa
34, computer chair
35, console
36,bar
37, multi-person sofa
38,double bed
39,shoe cabinet
40,couch bed
41,wine cooler
42,tea table
43,hanging chair
44,folding chair
45,u-shaped sofa
46,two-seat sofa
47,floor lamp
48,wall lamp
