id,name
0,void
2,cabinet/lightband
3,tea table
6,children cabinet
9,chaise longue sofa
10,lazy sofa
11,appliance
12,round end table
14,dining chair
15,others
16,armchair
17,bed
18,two-seat sofa
19,lighting
20,kids bed
21,pocket
22,storage unit
23,media unit
25,footstool / sofastool / bed end stool / stool
28,sideboard / side cabinet / console
29,plants
35,pier/stool
36,table
40,wallinner
44,baywindow
45,customizedfurniture
46,sofa
48,cabinet
49,walltop
50,chair
51,floor
54,customizedbackgroundmodel
55,drawer chest / corner cabinet
56,tv stand
58,window
59,art
60,back
61,accessory
63,beam
67,double bed
68,dining table
69,cabinet/shelf/desk
70,single bed
71,classic chinese chair
72,corner/side table
73,flue
74,shelf
75,customizedfeaturewall
76,nightstand
77,recreation
78,lounge chair / book-chair / computer chair
79,slabbottom
80,dressing table
81,desk
82,column
83,dressing chair
84,wardrobe
86,electronics
87,bunk bed
88,bed frame
89,three-seat / multi-person sofa
91,bookcase / jewelry armoire
92,mirror
93,wallbottom
94,barstool
95,wallouter
96,l-shaped sofa
98,door
99,lounge chair / cafe chair / office chair
100,coffee table
101,king-size bed
102,three-seat / multi-seat sofa
103,sideboard / side cabinet / console table
104,loveseat sofa
105,wine cabinet
106,bar
107,shoe cabinet
108,couch bed
109,hanging chair
110,folding chair
111,u-shaped sofa
112,floor lamp
113,wall lamp
