id,name
0,void
1,cabinet/lightband
2,tea table
1,children cabinet
4,chaise longue sofa
4,lazy sofa
2,round end table
5,dining chair
27,others
5,armchair
6,bed
4,two-seat sofa
5,lighting
6,kids bed
7,pocket
25,storage unit
8,media unit
9,footstool / sofastool / bed end stool / stool
26,sideboard / side cabinet / console
10,plants
9,pier/stool
2,table
11,wallinner
12,baywindow
13,customizedfurniture
4,sofa
1,cabinet
11,walltop
5,chair
14,floor
1,drawer chest / corner cabinet
15,tv stand
12,window
6,double bed
2,dining table
1,cabinet/shelf/desk
6,single bed
5,classic chinese chair
2,corner/side table
16,flue
17,shelf
18,nightstand
19,recreation
5,lounge chair / book-chair / computer chair
2,dressing table
20,desk
5,dressing chair
21,wardrobe
6,bunk bed
6,bed frame
4,three-seat / multi-person sofa
22,bookcase / jewelry armoire
23,mirror
11,wallbottom
9,barstool
11,wallouter
4,l-shaped sofa
24,door
5,lounge chair / cafe chair / office chair
2,coffee table
6,king-size bed
4,three-seat / multi-seat sofa
2,sideboard / side cabinet / console table
4,loveseat sofa
1,wine cabinet
1,shoe cabinet
18,couch bed
5,hanging chair
5,folding chair
4,u-shaped sofa
